Order ID,Order Date,Customer Region,Product Category,Product Name,Quantity,Unit Price,Total Amount,Payment Method
NG-1001,2024-02-07,Northeast,Fitness,Resistance Bands,5,80.17,400.85,PayPal
NG-1002,2024-03-07,West,Home Essentials,Electric Kettle,5,33.71,168.55,PayPal
NG-1003,2024-03-06,Midwest,Electronics,Noise Cancelling Headphones,2,23.72,47.44,PayPal
NG-1004,2024-01-14,South,Home Essentials,Coffee Maker,2,99.06,198.12,PayPal
NG-1005,2024-02-01,Northeast,Electronics,Bluetooth Speaker,1,55.55,55.55,Credit Card
NG-1006,2024-02-29,Northeast,Home Essentials,Electric Kettle,5,143.4,717.0,PayPal
NG-1007,2024-02-11,West,Electronics,Phone Charger,4,32.49,129.96,Credit Card
NG-1008,2024-01-27,West,Fitness,Adjustable Dumbbells,4,104.87,419.48,Apple Pay
NG-1009,2024-02-22,South,Fitness,Yoga Mat,2,76.77,153.54,Credit Card
NG-1010,2024-03-01,Midwest,Home Essentials,LED Desk Lamp,3,137.78,413.34,Credit Card
NG-1011,2024-02-23,South,Fitness,Resistance Bands,5,65.56,327.8,PayPal
NG-1012,2024-01-16,South,Fitness,Resistance Bands,3,126.08,378.24,Credit Card
NG-1013,2024-01-13,West,Fitness,Foam Roller,2,90.28,180.56,PayPal
NG-1014,2024-01-08,Northeast,Fitness,Adjustable Dumbbells,3,98.13,294.39,PayPal
NG-1015,2024-01-21,South,Fitness,Adjustable Dumbbells,3,100.12,300.36,Credit Card
NG-1016,2024-03-21,West,Home Essentials,LED Desk Lamp,2,44.27,88.54,Credit Card
NG-1017,2024-02-17,West,Fitness,Yoga Mat,5,60.22,301.1,PayPal
NG-1018,2024-01-14,South,Fitness,Adjustable Dumbbells,2,119.56,239.12,Apple Pay
NG-1019,2024-02-25,South,Fitness,Resistance Bands,3,148.3,444.9,Apple Pay
NG-1020,2024-01-06,Northeast,Home Essentials,Electric Kettle,3,37.59,112.77,Apple Pay
NG-1021,2024-02-13,Midwest,Fitness,Yoga Mat,5,85.79,428.95,Credit Card
NG-1022,2024-03-15,Midwest,Electronics,Noise Cancelling Headphones,1,99.87,99.87,PayPal
NG-1023,2024-01-11,West,Home Essentials,LED Desk Lamp,3,75.6,226.8,Apple Pay
NG-1024,2024-03-14,West,Electronics,Phone Charger,1,40.61,40.61,PayPal
NG-1025,2024-03-30,West,Fitness,Yoga Mat,2,46.63,93.26,PayPal
NG-1026,2024-01-31,South,Fitness,Resistance Bands,5,140.4,702.0,Apple Pay
NG-1027,2024-03-30,South,Fitness,Yoga Mat,1,127.52,127.52,Apple Pay
NG-1028,2024-01-25,Northeast,Electronics,Bluetooth Speaker,1,42.44,42.44,PayPal
NG-1029,2024-01-10,Midwest,Fitness,Adjustable Dumbbells,1,45.17,45.17,Credit Card
NG-1030,2024-01-09,Midwest,Electronics,Bluetooth Speaker,1,54.53,54.53,Apple Pay
NG-1031,2024-03-07,Northeast,Home Essentials,Air Purifier,4,117.12,468.48,Apple Pay
NG-1032,2024-02-10,Midwest,Fitness,Resistance Bands,4,146.74,586.96,PayPal
NG-1033,2024-03-20,Northeast,Electronics,Phone Charger,2,127.92,255.84,Apple Pay
NG-1034,2024-03-28,Midwest,Home Essentials,LED Desk Lamp,5,30.31,151.55,Credit Card
NG-1035,2024-02-19,South,Electronics,Noise Cancelling Headphones,1,65.89,65.89,PayPal
NG-1036,2024-01-20,South,Fitness,Foam Roller,5,135.51,677.55,Apple Pay
NG-1037,2024-02-29,Northeast,Fitness,Yoga Mat,4,110.81,443.24,PayPal
NG-1038,2024-02-27,South,Electronics,Phone Charger,2,24.59,49.18,Credit Card
NG-1039,2024-01-29,Northeast,Fitness,Foam Roller,3,44.09,132.27,Apple Pay
NG-1040,2024-02-27,Northeast,Home Essentials,Coffee Maker,5,146.36,731.8,Apple Pay
NG-1041,2024-02-13,South,Home Essentials,Air Purifier,1,117.21,117.21,Apple Pay
NG-1042,2024-01-06,West,Home Essentials,LED Desk Lamp,3,60.73,182.19,Apple Pay
NG-1043,2024-02-02,West,Fitness,Foam Roller,5,25.88,129.4,Credit Card
NG-1044,2024-01-17,Northeast,Fitness,Resistance Bands,2,100.25,200.5,Credit Card
NG-1045,2024-02-20,Midwest,Home Essentials,LED Desk Lamp,4,137.68,550.72,Credit Card
NG-1046,2024-02-17,Northeast,Home Essentials,Electric Kettle,1,125.14,125.14,Credit Card
NG-1047,2024-02-21,Northeast,Electronics,Wireless Mouse,2,57.26,114.52,Apple Pay
NG-1048,2024-02-06,West,Fitness,Adjustable Dumbbells,5,17.31,86.55,Apple Pay
NG-1049,2024-01-08,Northeast,Fitness,Yoga Mat,3,119.21,357.63,Apple Pay
NG-1050,2024-01-03,Midwest,Fitness,Resistance Bands,5,109.27,546.35,Apple Pay
NG-1051,2024-03-25,South,Fitness,Resistance Bands,4,24.94,99.76,Credit Card
NG-1052,2024-02-16,Northeast,Electronics,Wireless Mouse,5,83.11,415.55,Credit Card
NG-1053,2024-03-05,Midwest,Electronics,Bluetooth Speaker,5,58.78,293.9,Credit Card
NG-1054,2024-01-02,West,Electronics,Phone Charger,2,115.35,230.7,PayPal
NG-1055,2024-02-12,Northeast,Electronics,Noise Cancelling Headphones,4,140.51,562.04,Credit Card
NG-1056,2024-01-05,Northeast,Fitness,Adjustable Dumbbells,2,15.39,30.78,PayPal
NG-1057,2024-03-19,South,Fitness,Resistance Bands,5,73.55,367.75,Apple Pay
NG-1058,2024-02-05,West,Electronics,Phone Charger,5,124.84,624.2,Credit Card
NG-1059,2024-03-03,Midwest,Home Essentials,Coffee Maker,4,142.68,570.72,Apple Pay
NG-1060,2024-03-11,South,Electronics,Wireless Mouse,1,52.33,52.33,Apple Pay
